Firm,Year,CEI,BRIB_CORR,BUSS_ETH,FAIR_COMP,POL_CONTR,INDIG_PPL,IND_EC_IMP,0TH_ENG,ALT_CEI,BRD_EFFC,BRD_INDP,BRD_MEET,BRD_SIZE,BRD_COMPT,DIVIDEND,LOSS,TOT_ASSETS,SLACK,ROE
24,2012,0.26190,0.00000,0.00000,0.00000,0.00000,0.66670,1.00000,0.16670,0.20000,1.76471,1.83333,1.83333,1.00000,1.75000,0.00000,1.00000,1213229000000.00000,91734692.00000,-0.00300
24,2013,0.26190,0.00000,0.00000,0.00000,0.00000,0.66670,1.00000,0.16667,0.20000,2.05882,2.00000,2.00000,1.00000,2.50000,0.00000,0.00000,639012000000.00000,8745935767.00000,0.00000
24,2014,0.26190,0.00000,0.00000,0.00000,0.00000,0.66670,1.00000,0.16670,0.20000,2.05882,2.00000,2.00000,1.00000,2.50000,0.00000,1.00000,10400000000.00000,8745935767.00000,-0.00040
25,2011,0.16667,0.00000,0.00000,0.00000,0.00000,0.66670,0.50000,0.00000,0.00000,1.81250,1.83333,1.66667,1.00000,2.75000,0.00000,0.00000,1301283445488.00000,1000232715905.00000,0.15318
25,2012,0.29167,0.00000,0.00000,0.00000,0.25000,1.00000,1.00000,0.50000,0.50000,2.17647,1.83333,2.50000,1.00000,2.50000,100.00000,0.00000,1535650000000.00000,746440803287.00000,0.22000
25,2013,0.39286,0.00000,0.00000,0.00000,0.25000,1.00000,1.00000,0.50000,0.40000,2.17647,1.83333,2.50000,1.00000,2.50000,50.00000,0.00000,1595228000000.00000,833752463749.00000,0.24000
25,2014,0.36905,0.00000,0.00000,0.00000,0.25000,1.00000,1.00000,0.33330,0.40000,2.17647,1.83333,2.50000,1.00000,2.50000,50.00000,1.00000,1191604000000.00000,445795284405.00000,-0.04000
26,2011,0.44048,0.00000,0.25000,0.00000,0.00000,1.00000,1.00000,0.83330,0.70000,1.95833,1.66667,1.66667,2.00000,2.50000,132.72727,0.00000,22012381598058.00000,3628681781895.00000,0.19000
26,2012,0.93889,0.80000,1.00000,1.00000,1.00000,1.00000,1.00000,0.83330,0.70000,2.35294,1.83333,2.66667,3.00000,2.50000,79.70000,0.00000,22651261986424.00000,1672223289934.20000,0.04000
26,2013,0.75714,0.80000,1.00000,0.00000,0.50000,1.00000,1.00000,1.00000,0.70000,2.52941,2.16667,2.66667,2.00000,3.00000,24.60000,0.00000,27818524273406.10000,2643207305971.70000,0.02000
26,2014,0.75714,0.80000,1.00000,0.00000,0.50000,1.00000,1.00000,1.00000,0.80000,2.52941,2.16667,2.66667,2.00000,3.00000,0.00000,0.00000,29177375000000.00000,3778200000000.00000,0.10000
27,2011,0.07143,0.00000,0.00000,0.00000,0.00000,0.33333,0.00000,0.16670,0.20000,1.45833,1.83333,1.00000,1.00000,2.00000,0.00000,1.00000,10273890051.00000,5095223789.00000,-0.51900
27,2012,0.11111,0.00000,0.00000,0.00000,0.00000,0.33330,1.00000,0.33330,0.40000,1.66667,1.50000,1.50000,1.00000,2.25000,0.00000,0.00000,5576805788435.80000,83711494593.13520,0.30800
27,2013,0.35714,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.50000,0.50000,2.13333,2.16667,2.00000,1.00000,2.50000,0.00000,1.00000,9822894275817.02000,326724401066.78200,-0.10100
27,2014,0.30952,0.00000,0.00000,0.00000,0.00000,0.66670,1.00000,0.50000,0.50000,1.80000,1.83333,1.50000,1.00000,2.25000,0.00000,0.00000,10708936237500.00000,141598050000.00000,0.09000
28,2011,0.30952,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.16670,0.30000,1.87500,1.50000,2.50000,1.00000,2.50000,0.00000,1.00000,385026021483.00000,154532966900.00000,-0.06000
28,2012,0.19444,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.16670,0.20000,2.00000,1.83333,2.50000,1.00000,2.00000,0.00000,1.00000,307548209577.00000,19444977185.00000,-0.24100
28,2013,0.33333,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.33330,0.30000,2.33333,1.83333,3.00000,1.00000,2.75000,0.00000,1.00000,244996744367.00000,2029645139.00000,-0.20140
28,2014,0.16667,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.16670,0.20000,2.33333,1.83333,3.00000,1.00000,2.75000,0.00000,1.00000,2637794250000.00000,57220887500.00000,-0.02530
29,2011,0.95238,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,0.66670,0.50000,2.75000,2.83333,2.66667,3.00000,2.50000,89.00000,0.00000,6569807000000.00000,659584000000.00000,0.27000
